"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2021",14,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 9. Elementary occupations","2021",12,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 1. Managers","2021",31,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 2. Professionals","2021",24,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 3. Technicians and associate professionals","2021",18,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 4. Clerical support workers","2021",13,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 5. Service and sales workers","2021",11,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2021",15,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 7. Craft and related trades workers","2021",11,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2021",13,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 9. Elementary occupations","2021",10,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",78,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (Skill level): Skill level 2 ~ medium","2020",66,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (Skill level): Skill level 1 ~ low","2020",11,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",83,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (Skill level): Skill level 2 ~ medium","2020",70,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (Skill level): Skill level 1 ~ low","2020",11,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (Skill level): Skill levels 3 and 4 ~ high","2020",71,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (Skill level): Skill level 2 ~ medium","2020",62,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (Skill level): Skill level 1 ~ low","2020",10,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 1. Managers","2020",35,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 2. Professionals","2020",24,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 3. Technicians and associate professionals","2020",19,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 4. Clerical support workers","2020",14,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 5. Service and sales workers","2020",12,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2020",13,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 7. Craft and related trades workers","2020",13,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2020",14,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Total","Occupation (ISCO-08): 9. Elementary occupations","2020",11,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 1. Managers","2020",37,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 2. Professionals","2020",26,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 3. Technicians and associate professionals","2020",20,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 4. Clerical support workers","2020",15,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 5. Service and sales workers","2020",14,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers","2020",13,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 7. Craft and related trades workers","2020",14,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 8. Plant and machine operators, and assemblers","2020",14,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Male","Occupation (ISCO-08): 9. Elementary occupations","2020",11,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 1. Managers","2020",31,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 2. Professionals","2020",23,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 3. Technicians and associate professionals","2020",17,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
"Spain","ES - Annual Wage Structure Survey","SDG indicator 8.5.1 - Average hourly earnings of employees by sex (Local currency)","Sex: Female","Occupation (ISCO-08): 4. Clerical support workers","2020",13,,,"Job coverage: Main job currently held | Working time arrangement coverage: Full-time and part time workers | Currency: ESP - Euro (EUR)","Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Reference group coverage: Employees"
